stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
154135,4420095-2,Peetri rist (Siivertsi),59.406376,28.164083,154135,,Narva linn,,6592723.16,736357.63,,Narva LV
24417,7800232-1,Keeri,58.32272839,26.50336311,24417,,Nõo vald,"Nõgiaru suunas",6467416.50,646655.50,,Tartu MV
155981,4401153-1,Kassikaku,59.00924571,27.4504645,155981,,Alajõe vald,"Vasknarva suunas",6546243.50,698166.00,,Ida-Viru MV
26622,5900363-1,Leikude,59.33881868,26.06378195,26622,,Kadrina vald,,6579665.00,617430.68,Viru2D,Lääne-Viru MV
32158,5900233-1,Kihlevere,59.38073,26.117952,32158,,Kadrina vald,,6584427.75,620364.59,Viru2D,Lääne-Viru MV
24420,7801039-1,Valli,58.30022338,26.4713277,24420,,Nõo vald,"Meeri suunas",6464842.05,644871.94,,Tartu MV
9566,33704-1,Kotka,59.54100552,25.73676559,9566,,Kuusalu vald,,6601655.00,598244.62,Harju4,Harjumaa ÜTK
785,00101-1,Kakumäe,59.45913844,24.5731759,785,,Haabersti,,6591401.27,532504.33,Harju1,Tallinna TA
1181,09704-1,Standard,59.44800268,24.7113414,1181,,Põhja-Tallinn,,6590235.78,540352.48,Harju1,Tallinna TA
26737,5900380-1,Liivari,59.39032607,26.1211537,26737,,Kadrina vald,,6585502.00,620512.68,Viru2D,Lääne-Viru MV
790,00106-1,Teeotsa,59.45375589,24.58079798,790,,Haabersti,,6590805.37,532941.76,Harju1,Tallinna TA
792,00108-1,Sooranna tee,59.45198095,24.58396721,792,,Haabersti,,6590609.20,533123.23,Harju1,Tallinna TA
134330,6500907-1,Roosimäe,58.05830911,27.06492176,134330,,Põlva vald,"Põlva bussijaama suunas",6439362.30,680877.90,,Põlva MV
794,00124-1,Landi,59.44870712,24.59001154,794,,Haabersti,,6590247.49,533469.27,Harju1,Tallinna TA
795,00110-1,Landi,59.44885072,24.58997753,795,,Haabersti,,6590263.47,533467.20,Harju1,Tallinna TA
796,00111-1,Kakumäe tee,59.44205982,24.59483522,796,,Haabersti,,6589509.39,533749.46,Harju1,Tallinna TA
797,00112-1,Kakumäe tee,59.44291703,24.59407091,797,,Haabersti,,6589604.50,533705.25,Harju1,Tallinna TA
22575,8600342-1,Loosi,57.80189398,27.2221563,22575,,Võru vald,"Loosi kool suunas",6411271.06,691521.56,,Võru MV
4893,21940-1,Pärtli tee,59.11701843,24.47791834,4893,,Saue vald,,6553248.00,527374.00,Harju4,Harjumaa ÜTK
