route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
18da16ddc76af4298946910a95e42de7,21065,1256959,Valga bussijaam,Antsla - Vilaski - Valga bussijaam,A>B,55216,0
18da16ddc76af4298946910a95e42de7,26348,1256960,Valga bussijaam,Antsla - Vilaski - Valga bussijaam,A>B,55216,0
fc1ab0be056476a5086df663d6278597,21456,994800,Otepää,Valga - Keeni - Puka - Arula - Otepää,A>B,42778,0
239a9d65950b35e7cd6388b6aaca3177,21459,1024720,Otepää,Valga - Puka - Otepää,A>B,42777,0
ba31af4278719ed9de7602f78efa19e6,21463,1261740,Valga bussijaam,Otepää - Sihva - Keeni - Sangaste - Valga,A>C1>B,55319,0
0773f3f47d35764722b59943b761d860,21464,1015320,Tõrva,Valga - Tõrva - Pikasilla - Riidaja - Tõrva,A>B,46267,0
18c28e3851af5ac5441c38978ed5348c,21467,1028449,Antsla,Valga - Lüllemäe - Antsla,A>B,47133,0
18c28e3851af5ac5441c38978ed5348c,21467,1028450,Valga bussijaam,Antsla - Valga bussijaam,B>A,47134,0
c8a34003423418b3b301cf9296e09af9,21477,884345,Tõrva,Valga - Tõrva,A>B,40946,0
1517ddb319b09329bddffed350023431,22090,1013933,Tõrva,Riiska-Taagepera-Tõrva,A>B,46254,0
8ec974182d7cb1c3b4de60898e8ae3da,48456,1323489,Tallinna bussijaam,Riia - Pärnu - Tallinn,B>A,57468,0
8ec974182d7cb1c3b4de60898e8ae3da,48456,1323488,Riia,Tallinn - Pärnu - Riia,A>B,57467,0
8ec974182d7cb1c3b4de60898e8ae3da,196701,1323850,Tallinna bussijaam,Riia lennujaam - Pärnu - Tallinn,B1>A,57746,0
0876f9e40c3820d32a59e21e6d4653cc,48765,1270152,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Riisali - Rükkeli,A>B,49232,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1270153,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1270155,Tolli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1270156,Tolli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1270157,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1270160,Tolli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1270161,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
