service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21065,1,1,1,1,1,1,0,20190901,20270831
21456,1,0,1,0,1,0,0,20190901,20270831
21459,0,1,0,1,0,1,0,20190901,20270831
21463,0,0,0,0,0,0,1,20190901,20270831
21464,1,1,1,1,1,1,1,20190901,20270831
21467,0,0,0,0,0,0,1,20190901,20270831
21477,0,0,0,0,0,1,1,20190901,20270831
22090,1,1,1,1,1,0,0,20190901,20270831
26348,1,1,1,1,1,1,0,20190901,20270831
48456,1,1,1,1,1,1,1,20210618,20251227
48765,1,1,1,1,1,0,0,20170401,20230831
48766,1,1,1,1,1,1,1,20170401,20230831
63129,0,0,0,0,0,1,0,20150101,20230630
63467,1,1,1,1,1,1,0,20210301,20230630
63776,1,1,1,1,1,0,1,20150101,20230630
63873,1,1,1,1,1,1,1,20211108,20230630
64570,1,1,1,1,1,1,0,20150101,20230630
66834,1,1,1,1,1,1,1,20190901,20270831
67750,1,0,1,0,1,0,0,20190901,20270831
67751,0,1,0,1,0,1,0,20190901,20270831
70761,1,1,1,1,1,0,0,20211108,20230630
72295,0,0,0,0,0,0,1,20160301,20240229
72477,0,0,0,0,0,1,0,20160301,20240229
72839,1,1,1,1,1,0,0,20160301,20240229
72910,0,0,1,0,0,0,0,20160301,20240229
73346,0,0,0,0,0,1,0,20150501,20230630
73347,0,0,0,0,0,1,0,20150501,20230630
73348,0,0,0,0,0,1,0,20150501,20230630
74682,1,1,1,1,1,0,0,20150601,20230630
77091,1,1,1,1,1,0,0,20151001,20221231
77092,0,0,1,0,1,0,0,20151001,20221231
78246,0,0,0,0,0,0,1,20151101,20221231
78316,1,1,1,1,1,0,0,20151109,20230630
78318,1,1,1,1,1,0,0,20151109,20230630
78357,1,1,1,1,1,1,0,20151109,20230630
78419,0,0,0,0,0,1,1,20151109,20221231
79474,1,1,1,1,1,0,0,20151207,20221231
79929,1,1,1,1,1,0,1,20160201,20221231
79930,0,1,0,0,0,0,0,20160201,20221231
79974,1,1,1,1,1,1,1,20210901,20230630
80000,1,1,1,1,1,1,1,20160201,20221231
80001,1,1,1,1,1,1,1,20160201,20221231
80730,1,1,1,1,1,0,0,20160201,20221231
80796,1,0,1,0,1,0,0,20160201,20221130
80798,1,1,1,1,1,0,0,20160201,20221231
80799,0,0,0,0,0,1,1,20160201,20221231
81033,1,1,0,1,1,0,0,20160201,20221130
81037,0,0,1,0,0,0,0,20160201,20221130
81868,0,1,0,0,0,0,0,20160901,20221231
82248,0,1,0,0,0,0,0,20160314,20240229
83659,0,0,0,0,0,1,1,20160501,20230630
83827,1,1,1,1,1,1,1,20210501,20260430
85091,0,0,1,0,0,0,0,20160701,20221231
85606,1,1,1,1,1,0,0,20160701,20221231
86829,0,0,1,1,0,0,0,20160901,20221231
86865,0,0,0,0,1,0,0,20160901,20221231
86999,0,0,0,0,0,1,0,20160901,20221231
87465,1,0,0,0,0,0,0,20160901,20221231
87471,0,1,0,0,0,0,0,20160901,20221231
87486,0,0,1,1,0,0,0,20160901,20221231
87516,0,0,0,0,0,1,0,20160901,20221231
88185,1,1,1,1,1,0,0,20160901,20221231
89182,1,1,1,1,1,1,1,20161001,20230630
89200,1,1,1,1,1,0,0,20161001,20230630
89230,1,1,1,1,1,0,0,20210814,20230630
90521,0,0,0,0,1,0,0,20161101,20221231
90634,1,1,1,1,1,0,0,20161101,20221130
90637,1,1,1,1,1,1,1,20210301,20230630
91028,1,1,1,1,1,0,0,20161101,20230630
91030,0,0,0,0,0,1,1,20161101,20230630
91047,1,1,1,1,1,0,0,20161101,20230630
91049,1,1,1,1,1,1,1,20211108,20230630
91066,1,1,1,1,1,0,0,20161101,20230630
93328,1,1,1,1,1,0,0,20210301,20230630
93817,0,0,0,0,0,1,1,20210301,20230630
93822,0,0,0,0,0,1,1,20210301,20230630
93828,1,1,1,1,1,1,0,20210301,20230630
93842,1,1,1,1,1,1,1,20170116,20230630
95005,1,1,1,1,1,1,1,20210901,20230630
95006,1,1,1,1,1,0,0,20210901,20230630
95007,0,0,0,0,0,1,1,20210901,20230630
95863,1,1,1,1,1,1,0,20170501,20221231
99134,1,1,1,1,1,1,0,20170701,20230630
99179,0,1,0,1,0,1,0,20210901,20250621
100887,1,0,1,0,1,0,0,20170901,20221130
102261,1,1,1,1,1,0,0,20170904,20221231
102262,1,1,1,1,1,0,0,20170904,20221231
102263,0,1,0,0,1,0,0,20170904,20221231
102281,1,0,0,0,1,0,0,20170904,20221231
102282,0,0,1,0,0,0,0,20170904,20221231
102283,0,1,0,1,0,1,0,20170904,20221231
102446,0,0,1,0,0,0,0,20171001,20221231
102481,0,0,0,1,0,0,0,20171001,20221231
102502,1,1,0,0,1,1,0,20171001,20221231
102788,0,0,0,0,0,0,1,20210301,20230630
104029,1,1,1,1,1,0,0,20171101,20221231
104091,1,1,1,1,1,0,0,20171016,20230831
106078,0,0,0,0,0,1,0,20210906,20231108
106079,0,0,0,0,0,1,0,20210906,20231108
106080,0,0,0,0,0,1,0,20210906,20231108
106081,0,0,0,0,0,1,0,20210906,20231108
106082,0,0,0,0,0,1,0,20210906,20231108
106083,0,0,0,0,0,0,1,20210906,20231108
106084,0,0,0,0,0,0,1,20210906,20231108
106085,0,0,0,0,0,0,1,20210906,20231108
106086,0,0,0,0,0,0,1,20210906,20231108
106087,0,0,0,0,0,0,1,20210906,20231108
106943,1,1,1,1,1,0,0,20180101,20240229
106952,1,1,1,1,1,0,0,20180101,20240229
107011,1,1,1,1,1,0,0,20180101,20240229
107862,1,1,1,1,1,1,1,20180201,20221231
107877,1,1,1,1,1,0,0,20180201,20221231
107999,1,1,1,1,1,0,0,20200424,20231108
108039,0,0,0,0,0,1,0,20200701,20231108
108040,0,0,0,0,0,1,0,20200701,20231108
108041,0,0,0,0,0,1,0,20200701,20231108
108042,0,0,0,0,0,1,0,20200701,20231108
108043,0,0,0,0,0,1,0,20200701,20231108
108044,0,0,0,0,0,1,0,20200701,20231108
108045,0,0,0,0,0,1,0,20200701,20231108
108046,0,0,0,0,0,0,1,20200701,20231108
108047,0,0,0,0,0,0,1,20200701,20231108
108048,0,0,0,0,0,0,1,20200701,20231108
108049,0,0,0,0,0,0,1,20200701,20231108
108050,0,0,0,0,0,0,1,20200701,20231108
108051,0,0,0,0,0,0,1,20200701,20231108
108279,0,1,0,0,1,0,0,20180212,20240229
108281,0,1,0,0,1,0,0,20180212,20240229
108286,1,1,1,1,1,0,0,20180212,20240229
108581,1,1,1,1,1,1,1,20180305,20230630
109066,1,1,1,1,1,0,0,20180312,20240229
109067,1,1,1,1,1,0,0,20180312,20240229
109176,1,1,1,1,1,0,0,20180312,20240229
109733,1,0,0,1,1,0,0,20180402,20230401
110325,1,1,1,1,1,1,1,20220901,20221130
110808,0,0,0,0,0,0,1,20180701,20231108
111205,1,0,0,0,0,0,0,20180701,20231108
